agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,0,0,-79.13772233983121,-0.09604092516969807,824.0,824.0
Q-Learning,0,1,-192.3754446796605,-0.0971997616650895,1989.0,1165.0
Q-Learning,0,2,-235.31316701949248,-0.09293879294335933,2451.0,462.0
Q-Learning,0,3,-319.7508893593234,-0.09628018510813104,3328.0,877.0
Q-Learning,0,4,-389.9886116991552,-0.09556152699296833,4063.0,735.0
Q-Learning,0,5,-417.526334038987,-0.08940818941503827,4371.0,308.0
Q-Learning,0,6,-442.56405637881875,-0.08847251710187898,4654.0,283.0
Q-Learning,0,7,-485.90177871865075,-0.09299940416272964,5120.0,466.0
Q-Learning,0,8,-498.93950105848234,-0.07998602662473363,5283.0,163.0
Q-Learning,0,9,-517.177223398314,-0.08482661553410073,5498.0,215.0
Q-Learning,0,10,-552.714945738146,-0.0915920678861647,5886.0,388.0
Q-Learning,0,11,-555.0526680779776,-0.041745041782707444,5942.0,56.0
Q-Learning,0,12,-587.8903904178095,-0.0909632197779276,6303.0,361.0
Q-Learning,0,13,-588.9281127576411,-0.024133077670502826,6346.0,43.0
Q-Learning,0,14,-592.8658350974727,-0.054690588053216825,6418.0,72.0
Q-Learning,0,15,-626.0035574373045,-0.09103769873580184,6782.0,364.0
Q-Learning,0,16,-697.1412797771361,-0.09561521819869848,7526.0,744.0
Q-Learning,0,17,-721.4790021169679,-0.08818015340518748,7802.0,276.0
Q-Learning,0,18,-732.6167244567995,-0.07734529402660822,7946.0,144.0
Q-Learning,0,19,-749.7544467966311,-0.08400844284231196,8150.0,204.0
Q-Learning,0,20,-777.0921691364629,-0.08933896189487511,8456.0,306.0
Q-Learning,0,21,-794.3298914762945,-0.08408645043820313,8661.0,205.0
Q-Learning,0,22,-800.9676138161261,-0.0670477004023394,8760.0,99.0
Q-Learning,0,23,-810.3053361559577,-0.07410890745898088,8886.0,126.0
Q-Learning,0,24,-832.7430584957893,-0.08730631260634909,9143.0,257.0
Q-Learning,0,25,-844.7807808356209,-0.0786779237897489,9296.0,153.0
Q-Learning,0,26,-855.2185031754525,-0.07618775430534006,9433.0,137.0
Q-Learning,0,27,-856.8562255152841,-0.03342290489452285,9482.0,49.0
Q-Learning,0,28,-862.9939478551157,-0.06529491850884685,9576.0,94.0
Q-Learning,0,29,-863.9316701949473,-0.02232672237694338,9618.0,42.0
Q-Learning,0,30,-874.9693925347789,-0.07718686950931179,9761.0,143.0
Q-Learning,0,31,-881.6071148746105,-0.0670477004023394,9860.0,99.0
Q-Learning,0,32,-885.8448372144421,-0.05650296453108813,9935.0,75.0
Q-Learning,0,33,-891.8825595542737,-0.06492174558958713,10028.0,93.0
Q-Learning,0,34,-893.9202818941053,-0.038447591317577696,10081.0,53.0
Q-Learning,0,35,-907.9580042339369,-0.08114290369844852,10254.0,173.0
Q-Learning,0,36,-921.1957265737685,-0.08022862024140354,10419.0,165.0
Q-Learning,0,37,-921.9334489136002,-0.018443058495790567,10459.0,40.0
Q-Learning,0,38,-933.0711712534318,-0.07734529402660822,10603.0,144.0
Q-Learning,0,39,-946.3088935932634,-0.08022862024140354,10768.0,165.0
Q-Learning,0,40,-952.546615933095,-0.06566023515612213,10863.0,95.0
Q-Learning,0,41,-956.3843382729267,-0.05405242732157199,10934.0,71.0
Q-Learning,0,42,-960.3220606127583,-0.054690588053216825,11006.0,72.0
Q-Learning,0,43,-970.5597829525899,-0.0758349802950488,11141.0,135.0
Q-Learning,0,44,-971.9975052924215,-0.030589837017694046,11188.0,47.0
Q-Learning,0,45,-975.3352276322531,-0.05057155060350929,11254.0,66.0
Q-Learning,0,46,-980.1729499720848,-0.05972496715841491,11335.0,81.0
Q-Learning,0,47,-991.4106723119164,-0.07750153337814886,11480.0,145.0
Q-Learning,0,48,-994.648394651748,-0.049811112920486365,11545.0,65.0
Q-Learning,0,49,-998.7861169915797,-0.055915166754481216,11619.0,74.0
Q-Learning,0,50,-1010.2238393314112,-0.07780763496484071,11766.0,147.0
Q-Learning,0,51,-1017.9615616712429,-0.07034293036210543,11876.0,110.0
Q-Learning,0,52,-1020.7992840110745,-0.04652003835789533,11937.0,61.0
Q-Learning,0,53,-1021.1370063509062,-0.009381176106433952,11973.0,36.0
Q-Learning,0,54,-1024.5747286907379,-0.05130928865420318,12040.0,67.0
Q-Learning,0,55,-1034.7124510305694,-0.07565464432710141,12174.0,134.0
Q-Learning,0,56,-1043.450173370401,-0.07281435283192995,12294.0,120.0
Q-Learning,0,57,-1049.6878957102326,-0.06566023515612213,12389.0,95.0
Q-Learning,0,58,-1054.8256180500641,-0.06116336118847151,12473.0,84.0
Q-Learning,0,59,-1058.8633403898957,-0.055311264929200146,12546.0,73.0
Q-Learning,0,60,-1059.4010627297273,-0.014150587890305854,12584.0,38.0
Q-Learning,0,61,-1059.138785069559,0.008742588672279276,12614.0,30.0
Q-Learning,0,62,-1061.4765074093905,-0.041745041782707444,12670.0,56.0
Q-Learning,0,63,-1067.214229749222,-0.06375247044257339,12760.0,90.0
Q-Learning,0,64,-1068.9519520890537,-0.03475444679663238,12810.0,50.0
Q-Learning,0,65,-1077.0896744288852,-0.07138352929676839,12924.0,114.0
Q-Learning,0,66,-1077.727396768717,-0.016351854867477502,12963.0,39.0
Q-Learning,0,67,-1082.6651191085487,-0.0602161260955074,13045.0,82.0
Q-Learning,0,68,-1104.1028414483803,-0.08679239813697046,13292.0,247.0
Q-Learning,0,69,-1111.4405637882119,-0.06922379565878867,13398.0,106.0
Q-Learning,0,70,-1115.2782861280434,-0.05405242732157199,13469.0,71.0
Q-Learning,0,71,-1120.216008467875,-0.0602161260955074,13551.0,82.0
Q-Learning,0,72,-1129.7537308077067,-0.0745134557799343,13679.0,128.0
Q-Learning,0,73,-1132.8914531475384,-0.04902691155986897,13743.0,64.0
Q-Learning,0,74,-1136.82917548737,-0.054690588053216825,13815.0,72.0
Q-Learning,0,75,-1139.9668978272018,-0.04902691155986897,13879.0,64.0
Q-Learning,0,76,-1166.0046201670336,-0.08886594655232685,14172.0,293.0
Q-Learning,0,77,-1167.7423425068653,-0.03475444679663238,14222.0,50.0
Q-Learning,0,78,-1172.180064846697,-0.05763275766015077,14299.0,77.0
Q-Learning,0,79,-1175.3177871865287,-0.04902691155986897,14363.0,64.0
Q-Learning,0,80,-1175.8555095263603,-0.014150587890305854,14401.0,38.0
Q-Learning,0,81,-1175.6932318661918,0.005234763231238006,14432.0,31.0
Q-Learning,0,82,-1178.9309542060234,-0.049811112920486365,14497.0,65.0
Q-Learning,0,83,-1185.3686765458551,-0.06636827154465569,14594.0,97.0
Q-Learning,0,84,-1190.6063988856868,-0.06162026282154831,14679.0,85.0
Q-Learning,0,85,-1194.5441212255184,-0.054690588053216825,14751.0,72.0
Q-Learning,0,86,-1196.6818435653502,-0.03958745073762255,14805.0,54.0
Q-Learning,0,87,-1199.7195659051818,-0.048217814917962135,14868.0,63.0
Q-Learning,0,88,-1208.0572882450133,-0.07187691672268616,14984.0,116.0
Q-Learning,0,89,-1214.8950105848448,-0.06770022118645148,15085.0,101.0
Q-Learning,0,90,-1215.5327329246766,-0.016351854867477502,15124.0,39.0
Q-Learning,0,91,-1226.0704552645082,-0.07636030681037383,15262.0,138.0
Q-Learning,0,92,-1227.3081776043398,-0.02750494088514713,15307.0,45.0
Q-Learning,0,93,-1228.2458999441715,-0.02232672237694338,15349.0,42.0
Q-Learning,0,94,-1229.283622284003,-0.024133077670502826,15392.0,43.0
Q-Learning,0,95,-1229.5213446238347,-0.006792066852332062,15427.0,35.0
Q-Learning,0,96,-1242.2590669636663,-0.07961076462394737,15587.0,160.0
Q-Learning,0,97,-1246.696789303498,-0.05763275766015077,15664.0,77.0
Q-Learning,0,98,-1258.6345116433297,-0.0785376469725762,15816.0,152.0
Q-Learning,0,99,-1259.3722339831613,-0.018443058495790567,15856.0,40.0
Q-Learning,1,0,-33.737722339831876,-0.09118303335089696,370.0,370.0
Q-Learning,1,1,-157.27544467966055,-0.09742722582005417,1638.0,1268.0
Q-Learning,1,2,-163.41316701949216,-0.06529491850884685,1732.0,94.0
Q-Learning,1,3,-237.25088935932368,-0.09576877086878277,2503.0,771.0
Q-Learning,1,4,-272.68861169915556,-0.09157034196338992,2890.0,387.0
Q-Learning,1,5,-300.52633403898733,-0.0895103612213241,3201.0,311.0
Q-Learning,1,6,-312.9640563788189,-0.07922116140020115,3358.0,157.0
Q-Learning,1,7,-373.40177871865114,-0.09487868499188737,3995.0,637.0
Q-Learning,1,8,-429.0395010584833,-0.09446132825098844,4584.0,589.0
Q-Learning,1,9,-437.5772233983149,-0.0723535791511152,4702.0,118.0
Q-Learning,1,10,-501.514945738147,-0.09514542014855965,5374.0,672.0
Q-Learning,1,11,-515.9526680779786,-0.08156905276741017,5551.0,177.0
Q-Learning,1,12,-538.0903904178103,-0.08715638716469178,5805.0,254.0
